"","region","state","code","park_name","type","visitors","year"
"1","NE","ME","ACAD","Acadia National Park","National Park",64000,1919
"2","NE","ME","ACAD","Acadia National Park","National Park",66500,1920
"3","NE","ME","ACAD","Acadia National Park","National Park",69836,1921
"4","NE","ME","ACAD","Acadia National Park","National Park",73779,1922
"5","NE","ME","ACAD","Acadia National Park","National Park",64200,1923
"6","NE","ME","ACAD","Acadia National Park","National Park",71758,1924
"7","NE","ME","ACAD","Acadia National Park","National Park",73673,1925
"8","NE","ME","ACAD","Acadia National Park","National Park",101256,1926
"9","NE","ME","ACAD","Acadia National Park","National Park",123699,1927
"10","NE","ME","ACAD","Acadia National Park","National Park",134897,1928
"11","NE","ME","ACAD","Acadia National Park","National Park",149554,1929
"12","NE","ME","ACAD","Acadia National Park","National Park",154734,1930
"13","NE","ME","ACAD","Acadia National Park","National Park",162238,1931
"14","NE","ME","ACAD","Acadia National Park","National Park",237596,1932
"15","NE","ME","ACAD","Acadia National Park","National Park",262712,1933
"16","NE","ME","ACAD","Acadia National Park","National Park",275956,1934
"17","NE","ME","ACAD","Acadia National Park","National Park",316114,1935
"18","NE","ME","ACAD","Acadia National Park","National Park",340393,1936
"19","NE","ME","ACAD","Acadia National Park","National Park",383036,1937
"20","NE","ME","ACAD","Acadia National Park","National Park",394319,1938
"21","NE","ME","ACAD","Acadia National Park","National Park",396468,1939
"22","NE","ME","ACAD","Acadia National Park","National Park",382084,1940
"23","NE","ME","ACAD","Acadia National Park","National Park",409961,1941
"24","NE","ME","ACAD","Acadia National Park","National Park",36544,1942
"25","NE","ME","ACAD","Acadia National Park","National Park",8246,1943
"26","NE","ME","ACAD","Acadia National Park","National Park",12916,1944
"27","NE","ME","ACAD","Acadia National Park","National Park",20200,1945
"28","NE","ME","ACAD","Acadia National Park","National Park",382390,1946
"29","NE","ME","ACAD","Acadia National Park","National Park",434069,1947
"30","NE","ME","ACAD","Acadia National Park","National Park",420846,1948
"31","NE","ME","ACAD","Acadia National Park","National Park",438584,1949
"32","NE","ME","ACAD","Acadia National Park","National Park",485220,1950
"33","NE","ME","ACAD","Acadia National Park","National Park",518556,1951
"34","NE","ME","ACAD","Acadia National Park","National Park",549075,1952
"35","NE","ME","ACAD","Acadia National Park","National Park",556195,1953
"36","NE","ME","ACAD","Acadia National Park","National Park",553800,1954
"37","NE","ME","ACAD","Acadia National Park","National Park",655000,1955
"38","NE","ME","ACAD","Acadia National Park","National Park",735500,1956
"39","NE","ME","ACAD","Acadia National Park","National Park",858900,1957
"40","NE","ME","ACAD","Acadia National Park","National Park",816500,1958
"41","NE","ME","ACAD","Acadia National Park","National Park",755900,1959
"42","NE","ME","ACAD","Acadia National Park","National Park",1638200,1960
"43","NE","ME","ACAD","Acadia National Park","National Park",1574600,1961
"44","NE","ME","ACAD","Acadia National Park","National Park",1601500,1962
"45","NE","ME","ACAD","Acadia National Park","National Park",1864800,1963
"46","NE","ME","ACAD","Acadia National Park","National Park",2011600,1964
"47","NE","ME","ACAD","Acadia National Park","National Park",1733600,1965
"48","NE","ME","ACAD","Acadia National Park","National Park",2158400,1966
"49","NE","ME","ACAD","Acadia National Park","National Park",2102000,1967
"50","NE","ME","ACAD","Acadia National Park","National Park",2303300,1968
"51","NE","ME","ACAD","Acadia National Park","National Park",2489800,1969
"52","NE","ME","ACAD","Acadia National Park","National Park",2776300,1970
"53","NE","ME","ACAD","Acadia National Park","National Park",2101100,1971
"54","NE","ME","ACAD","Acadia National Park","National Park",2285881,1972
"55","NE","ME","ACAD","Acadia National Park","National Park",2394000,1973
