"country","OHI_score","OHI_trend","coastal_pop","log_coastal_pop","cumulative_human_impact","HDI","georegion_one","geogregion_two"
"South Georgia and the South Sandwich Islands",91.98,1.67,0,0,2.81775211960146,NA,"Southern Islands","Southern Islands"
"Crozet Islands",88.08,0.81,0,0,1.92344356750979,NA,"Southern Islands","Southern Islands"
"Howland Island and Baker Island",87.69,0.08,0,0,2.97303745814288,NA,"Oceania","Micronesia"
"Heard and McDonald Islands",87.35,0.46,0,0,2.78357377105712,NA,"Southern Islands","Southern Islands"
"Kerguelen Islands",87.32,0.72,0,0,2.02023498591386,NA,"Southern Islands","Southern Islands"
"Jarvis Island",83.9,-0.25,0,0,1.84685443518799,NA,"Oceania","Micronesia"
"Macquarie Island",83.82,0.54,0,0,1.93871205575426,NA,"Oceania","Australia and New Zealand"
"Northern Saint-Martin",83.2,-0.05,122344.331060881,11.7146029076268,4.71276403211659,NA,"Latin America and the Caribbean","Caribbean"
"Phoenix Islands (Kiribati)",82.74,-0.34,31.8008590768512,3.49045470641452,2.88975920255914,NA,"Oceania","Micronesia"
"Christmas Island",82.7,-0.62,5555.77971701534,8.62277403186354,3.920285516687,NA,"Oceania","Australia and New Zealand"
"Palmyra Atoll",82.3,-0.06,0,0,2.50013164293645,NA,"Oceania","Micronesia"
"New Caledonia",81.8,-0.06,434283.033584977,12.981454054285,3.53826656288781,NA,"Oceania","Melanesia"
"Germany",81.6,-0.11,8864796.2618893,15.9975986277297,3.71309134129361,0.926,"Europe","Western Europe"
"Aruba",80.67,-0.24,117944.299738542,11.6779762344322,4.45104490093651,NA,"Latin America and the Caribbean","Caribbean"
"Cocos Islands",80.47,-0.87,4526.33793143784,8.41788939263709,3.67752153237824,NA,"Oceania","Australia and New Zealand"
"Norfolk Island",80.37,-0.77,4062.6785572145,8.30984389095653,3.74554156393861,NA,"Oceania","Australia and New Zealand"
"Madeira",80.36,0.28,309013.311811343,12.6411428713489,4.30062574614665,NA,"Europe","Southern Europe"
"Antigua and Barbuda",80.07,0.1,130112.431807949,11.776161901354,4.57306971862678,0.786,"Latin America and the Caribbean","Caribbean"
"Malta",79.44,0.07,557045.7265776,13.2304044051173,4.3511655447488,0.856,"Europe","Southern Europe"
"American Samoa",79.07,0.52,80587.315197288,11.2971089452468,3.944795867007,NA,"Oceania","Polynesia"
"French Polynesia",78.46,0.48,495763.37301466,13.113856038427,3.12743916972645,NA,"Oceania","Polynesia"
"Australia",78.41,-0.62,22915038.2115562,16.9473039870981,3.56902552810887,0.939,"Oceania","Australia and New Zealand"
"Pitcairn",77.9,1.6,355.98435899358,5.87769196847694,2.65865917547884,NA,"Oceania","Polynesia"
"Italy",77.71,0.3,35801016.0142016,17.3934868591853,4.02627721236323,0.887,"Europe","Southern Europe"
"Curacao",77.14,0.28,182706.451940022,12.1156415293833,4.44787180728848,NA,"Latin America and the Caribbean","Caribbean"
"Cayman Islands",77.11,-0.02,114749.489687541,11.6505153953432,4.23366357971799,NA,"Latin America and the Caribbean","Caribbean"
"New Zealand",76.62,-0.52,5116636.63295539,15.4480080689723,2.50006549696121,0.915,"Oceania","Australia and New Zealand"
"United Arab Emirates",76.55,-0.45,5625649.04818464,15.5428470634995,3.2654408225035,0.84,"Asia","Western Asia"
"Azores",76.4,0.04,379076.421081265,12.8454957404621,4.34511668335762,NA,"Europe","Southern Europe"
"Seychelles",75.95,-0.22,167256.863942754,12.0272919959748,3.61163795885542,0.782,"Africa","Eastern Africa"
"Wallis and Futuna",75.89,0.61,24750.5194350863,10.1166421574291,3.78984952116361,NA,"Oceania","Polynesia"
"Bahamas",75.77,-0.89,745940.836830193,13.5224029094308,3.59073785620561,0.792,"Latin America and the Caribbean","Caribbean"
"Tuvalu",75.41,1.17,49943.9120863516,10.8186759187555,3.66042404567372,NA,"Oceania","Polynesia"
"Vanuatu",75.29,1.41,410111.61243205,12.9241870654355,3.62320969950564,0.597,"Oceania","Melanesia"
"Suriname",75.26,0.31,507285.774536541,13.1368317529144,4.07334164608393,0.725,"Latin America and the Caribbean","South America"
"Norway",74.98,-1.06,5629917.35254349,15.5436054977982,3.77925899058762,0.949,"Europe","Northern Europe"
"Clipperton Island",74.89,0.01,0,0,3.55886313168832,NA,"Latin America and the Caribbean","Central America"
"Croatia",74.68,0.15,1674389.05265455,14.3309595092545,3.95808720526428,0.827,"Europe","Southern Europe"
"Finland",74.33,-1.26,3541879.5125408,15.0801683622954,3.15450590459196,0.895,"Europe","Northern Europe"
"South Korea",74.25,0.71,45921075.3036443,17.6424347483691,4.82967008346895,0.901,"Asia","Eastern Asia"
"Ile Europa",74.23,-1.51,0,0,3.85447623486903,NA,"Africa","Eastern Africa"
