country,co2_2007
Afghanistan,2937.8834207797813
Albania,4217.55105614
Algeria,105838.12850284
American Samoa,18.36844005
Angola,17405.004733667003
Anguilla,12.353917530799999
Antigua and Barbuda,382.25511819800005
Argentina,175532.7787316
Armenia,5336.288771
Aruba,282.1518872644
Australia,425956.58876889996
Austria,75961.44988220998
Azerbaijan,28034.457800260006
Bahamas,3474.231534218001
Bahrain,18809.673060869998
Bangladesh,44081.094813027994
Barbados,1247.664473368
Belarus,63370.956369202635
Belgium,110651.3467689
Belize,827.838089848
Benin,4413.821491
Bermuda,452.899965716
Bhutan,757.603161981
Bolivia (Plurinational State of),12054.329805730002
Bosnia and Herzegovina,19636.109488410002
Botswana,4577.016378499999
Brazil,378627.6926858999
British Virgin Islands,72.5004524849
Brunei Darussalam,7316.614358316
Bulgaria,57127.802149569994
Burkina Faso,1719.4156365400004
Burundi,937.9216903096001
Cabo Verde,83.53333599279999
Cambodia,3483.3714590000004
Cameroon,7591.61326572
Canada,570304.5196672
Cayman Islands,292.0834300286
Central African Republic,604.3063227695
Chad,1130.28585546
Chile,69691.9155285
China,7957880.130688539
"China, Hong Kong SAR",45545.930060999985
"China, Macao SAR",1891.6125698919996
"China, Taiwan Province of",281417.4527915
Colombia,61057.70738790999
Comoros,88.33320654210002
Congo,4312.278782936
Cook Islands,25.8068985136
Costa Rica,7653.274646686999
Côte d Ivoire,6261.52078537
Croatia,24388.305158739997
Cuba,27495.72093784
Cyprus,8258.5749965
Czech Republic,129031.64168642
Democratic People s Republic of Korea,67655.933912083
Democratic Republic of the Congo,3097.9645155199996
Denmark,53869.52538329
Djibouti,1120.8635877000004
Dominica,145.79086435850002
Dominican Republic,21095.856452368
Ecuador,31363.070733960005
Egypt,191557.94065420004
El Salvador,7651.817046236
Equatorial Guinea,3372.05358293
Eritrea,527.38603825
Estonia,20512.139606999997
Ethiopia,6158.0978156
Falkland Islands (Malvinas),33.58105911513999
Faroe Islands,1.84763
Fiji,935.6607935
Finland,69091.12867890998
France,394432.64034329995
French Guiana,1061.9407743340003
French Polynesia,582.4632166900002
Gabon,5243.642223096999
Gambia,201.0315286592
Georgia,6139.40934287
Germany,812442.9198949698
Ghana,8975.279328389997
Gibraltar,421.71415599999995
Greece,106237.12610782005
Greenland,2.3291361999999998
Grenada,434.07027737970003
Guadeloupe,1875.6228291829998
Guam,11.01961325
Guatemala,12644.25672167
Guinea,1513.8511859379998
Guinea-Bissau,252.39004092459996
Guyana,2479.0320028739998
Haiti,2408.3630850000004
