"","region","state","code","park_name","type","visitors","year"
"1","PW","CA","CHIS","Channel Islands National Park","National Park",364807,2016
"2","PW","OR","CRLA","Crater Lake National Park","National Park",756344,2016
"3","PW","CA","DEVA","Death Valley National Park","National Park",1296283,2016
"4","PW","NV","GRBA","Great Basin National Park","National Park",144846,2016
"5","PW","HI","HALE","Haleakala National Park","National Park",1263558,2016
"6","PW","HI","HAVO","Hawai'i Volcanoes National Park","National Park",1887580,2016
"7","PW","CA","JOTR","Joshua Tree National Park","National Park",2505286,2016
"8","PW","CA","KICA","Kings Canyon National Park","National Park",607479,2016
"9","PW","CA","LAVO","Lassen Volcanic National Park","National Park",536068,2016
"10","PW","WA","MORA","Mount Rainier National Park","National Park",1356913,2016
"11","PW","AS","NPSA","National Park of American Samoa","National Park",28892,2016
"12","PW","WA","NOCA","North Cascades National Park","National Park",28646,2016
"13","PW","WA","OLYM","Olympic National Park","National Park",3390221,2016
"14","PW","CA","PINN","Pinnacles National Park","National Park",215555,2016
"15","PW","CA","REDW","Redwood National Park","National Park",536297,2016
"16","PW","CA","SEQU","Sequoia National Park","National Park",1254688,2016
"17","PW","CA","YOSE","Yosemite National Park","National Park",5028868,2016
