"","region","state","code","park_name","type","visitors","year"
"1","SE","FL","BISC","Biscayne National Park","National Park",78147,1972
"2","SE","FL","BISC","Biscayne National Park","National Park",243100,1973
"3","SE","FL","BISC","Biscayne National Park","National Park",409700,1974
"4","SE","FL","BISC","Biscayne National Park","National Park",351500,1975
"5","SE","FL","BISC","Biscayne National Park","National Park",339100,1976
"6","SE","FL","BISC","Biscayne National Park","National Park",205900,1977
"7","SE","FL","BISC","Biscayne National Park","National Park",177416,1978
"8","SE","FL","BISC","Biscayne National Park","National Park",202938,1979
"9","SE","FL","BISC","Biscayne National Park","National Park",248071,1980
"10","SE","FL","BISC","Biscayne National Park","National Park",305502,1981
"11","SE","FL","BISC","Biscayne National Park","National Park",348219,1982
"12","SE","FL","BISC","Biscayne National Park","National Park",369082,1983
"13","SE","FL","BISC","Biscayne National Park","National Park",340567,1984
"14","SE","FL","BISC","Biscayne National Park","National Park",460921,1985
"15","SE","FL","BISC","Biscayne National Park","National Park",578013,1986
"16","SE","FL","BISC","Biscayne National Park","National Park",607968,1987
"17","SE","FL","BISC","Biscayne National Park","National Park",531036,1988
"18","SE","FL","BISC","Biscayne National Park","National Park",589957,1989
"19","SE","FL","BISC","Biscayne National Park","National Park",573376,1990
"20","SE","FL","BISC","Biscayne National Park","National Park",488134,1991
"21","SE","FL","BISC","Biscayne National Park","National Park",307512,1992
"22","SE","FL","BISC","Biscayne National Park","National Park",19950,1993
"23","SE","FL","BISC","Biscayne National Park","National Park",25147,1994
"24","SE","FL","BISC","Biscayne National Park","National Park",584519,1995
"25","SE","FL","BISC","Biscayne National Park","National Park",338603,1996
"26","SE","FL","BISC","Biscayne National Park","National Park",392069,1997
"27","SE","FL","BISC","Biscayne National Park","National Park",403239,1998
"28","SE","FL","BISC","Biscayne National Park","National Park",442585,1999
"29","SE","FL","BISC","Biscayne National Park","National Park",393151,2000
"30","SE","FL","BISC","Biscayne National Park","National Park",489343,2001
"31","SE","FL","BISC","Biscayne National Park","National Park",513397,2002
"32","SE","FL","BISC","Biscayne National Park","National Park",490031,2003
"33","SE","FL","BISC","Biscayne National Park","National Park",478304,2004
"34","SE","FL","BISC","Biscayne National Park","National Park",563728,2005
"35","SE","FL","BISC","Biscayne National Park","National Park",608836,2006
"36","SE","FL","BISC","Biscayne National Park","National Park",517442,2007
"37","SE","FL","BISC","Biscayne National Park","National Park",686062,2008
"38","SE","FL","BISC","Biscayne National Park","National Park",437745,2009
"39","SE","FL","BISC","Biscayne National Park","National Park",467612,2010
"40","SE","FL","BISC","Biscayne National Park","National Park",476077,2011
"41","SE","FL","BISC","Biscayne National Park","National Park",495613,2012
"42","SE","FL","BISC","Biscayne National Park","National Park",486848,2013
"43","SE","FL","BISC","Biscayne National Park","National Park",525745,2014
"44","SE","FL","BISC","Biscayne National Park","National Park",508164,2015
"45","SE","FL","BISC","Biscayne National Park","National Park",514709,2016
"46","SE","SC","CONG","Congaree National Park","National Park",12332,1985
"47","SE","SC","CONG","Congaree National Park","National Park",16508,1986
"48","SE","SC","CONG","Congaree National Park","National Park",20312,1987
"49","SE","SC","CONG","Congaree National Park","National Park",26257,1988
"50","SE","SC","CONG","Congaree National Park","National Park",25445,1989
"51","SE","SC","CONG","Congaree National Park","National Park",23223,1990
"52","SE","SC","CONG","Congaree National Park","National Park",30975,1991
"53","SE","SC","CONG","Congaree National Park","National Park",40018,1992
"54","SE","SC","CONG","Congaree National Park","National Park",54669,1993
"55","SE","SC","CONG","Congaree National Park","National Park",67756,1994
"56","SE","SC","CONG","Congaree National Park","National Park",67949,1995
"57","SE","SC","CONG","Congaree National Park","National Park",62614,1996
"58","SE","SC","CONG","Congaree National Park","National Park",70716,1997
