region,state,code,park_name,type,visitors,year
SE,FL,BISC,Biscayne National Park,National Park,78147,1972
SE,FL,BISC,Biscayne National Park,National Park,243100,1973
SE,FL,BISC,Biscayne National Park,National Park,409700,1974
SE,FL,BISC,Biscayne National Park,National Park,351500,1975
SE,FL,BISC,Biscayne National Park,National Park,339100,1976
SE,FL,BISC,Biscayne National Park,National Park,205900,1977
SE,FL,BISC,Biscayne National Park,National Park,177416,1978
SE,FL,BISC,Biscayne National Park,National Park,202938,1979
SE,FL,BISC,Biscayne National Park,National Park,248071,1980
SE,FL,BISC,Biscayne National Park,National Park,305502,1981
SE,FL,BISC,Biscayne National Park,National Park,348219,1982
SE,FL,BISC,Biscayne National Park,National Park,369082,1983
SE,FL,BISC,Biscayne National Park,National Park,340567,1984
SE,FL,BISC,Biscayne National Park,National Park,460921,1985
SE,FL,BISC,Biscayne National Park,National Park,578013,1986
SE,FL,BISC,Biscayne National Park,National Park,607968,1987
SE,FL,BISC,Biscayne National Park,National Park,531036,1988
SE,FL,BISC,Biscayne National Park,National Park,589957,1989
SE,FL,BISC,Biscayne National Park,National Park,573376,1990
SE,FL,BISC,Biscayne National Park,National Park,488134,1991
SE,FL,BISC,Biscayne National Park,National Park,307512,1992
SE,FL,BISC,Biscayne National Park,National Park,19950,1993
SE,FL,BISC,Biscayne National Park,National Park,25147,1994
SE,FL,BISC,Biscayne National Park,National Park,584519,1995
SE,FL,BISC,Biscayne National Park,National Park,338603,1996
SE,FL,BISC,Biscayne National Park,National Park,392069,1997
SE,FL,BISC,Biscayne National Park,National Park,403239,1998
SE,FL,BISC,Biscayne National Park,National Park,442585,1999
SE,FL,BISC,Biscayne National Park,National Park,393151,2000
SE,FL,BISC,Biscayne National Park,National Park,489343,2001
SE,FL,BISC,Biscayne National Park,National Park,513397,2002
SE,FL,BISC,Biscayne National Park,National Park,490031,2003
SE,FL,BISC,Biscayne National Park,National Park,478304,2004
SE,FL,BISC,Biscayne National Park,National Park,563728,2005
SE,FL,BISC,Biscayne National Park,National Park,608836,2006
SE,FL,BISC,Biscayne National Park,National Park,517442,2007
SE,FL,BISC,Biscayne National Park,National Park,686062,2008
SE,FL,BISC,Biscayne National Park,National Park,437745,2009
SE,FL,BISC,Biscayne National Park,National Park,467612,2010
SE,FL,BISC,Biscayne National Park,National Park,476077,2011
SE,FL,BISC,Biscayne National Park,National Park,495613,2012
SE,FL,BISC,Biscayne National Park,National Park,486848,2013
SE,FL,BISC,Biscayne National Park,National Park,525745,2014
SE,FL,BISC,Biscayne National Park,National Park,508164,2015
SE,FL,BISC,Biscayne National Park,National Park,514709,2016
SE,SC,CONG,Congaree National Park,National Park,12332,1985
SE,SC,CONG,Congaree National Park,National Park,16508,1986
SE,SC,CONG,Congaree National Park,National Park,20312,1987
SE,SC,CONG,Congaree National Park,National Park,26257,1988
SE,SC,CONG,Congaree National Park,National Park,25445,1989
SE,SC,CONG,Congaree National Park,National Park,23223,1990
SE,SC,CONG,Congaree National Park,National Park,30975,1991
SE,SC,CONG,Congaree National Park,National Park,40018,1992
SE,SC,CONG,Congaree National Park,National Park,54669,1993
SE,SC,CONG,Congaree National Park,National Park,67756,1994
SE,SC,CONG,Congaree National Park,National Park,67949,1995
SE,SC,CONG,Congaree National Park,National Park,62614,1996
SE,SC,CONG,Congaree National Park,National Park,70716,1997
SE,SC,CONG,Congaree National Park,National Park,93725,1998
SE,SC,CONG,Congaree National Park,National Park,82223,1999
SE,SC,CONG,Congaree National Park,National Park,95619,2000
SE,SC,CONG,Congaree National Park,National Park,119738,2001
SE,SC,CONG,Congaree National Park,National Park,101620,2002
SE,SC,CONG,Congaree National Park,National Park,107114,2003
SE,SC,CONG,Congaree National Park,National Park,126247,2004
SE,SC,CONG,Congaree National Park,National Park,84301,2005
SE,SC,CONG,Congaree National Park,National Park,134045,2006
SE,SC,CONG,Congaree National Park,National Park,115524,2007
SE,SC,CONG,Congaree National Park,National Park,104913,2008
SE,SC,CONG,Congaree National Park,National Park,122970,2009
SE,SC,CONG,Congaree National Park,National Park,121208,2010
SE,SC,CONG,Congaree National Park,National Park,120166,2011
SE,SC,CONG,Congaree National Park,National Park,109685,2012
SE,SC,CONG,Congaree National Park,National Park,120340,2013
SE,SC,CONG,Congaree National Park,National Park,120122,2014
SE,SC,CONG,Congaree National Park,National Park,87513,2015
SE,SC,CONG,Congaree National Park,National Park,143843,2016
SE,FL,DRTO,Dry Tortugas National Park,National Park,706,1937
SE,FL,DRTO,Dry Tortugas National Park,National Park,1130,1938
SE,FL,DRTO,Dry Tortugas National Park,National Park,1500,1939
SE,FL,DRTO,Dry Tortugas National Park,National Park,1141,1940
SE,FL,DRTO,Dry Tortugas National Park,National Park,757,1941
SE,FL,DRTO,Dry Tortugas National Park,National Park,0,1942
SE,FL,DRTO,Dry Tortugas National Park,National Park,0,1943
SE,FL,DRTO,Dry Tortugas National Park,National Park,0,1944
SE,FL,DRTO,Dry Tortugas National Park,National Park,2154,1945
SE,FL,DRTO,Dry Tortugas National Park,National Park,8787,1946
SE,FL,DRTO,Dry Tortugas National Park,National Park,6685,1947
SE,FL,DRTO,Dry Tortugas National Park,National Park,5968,1948
SE,FL,DRTO,Dry Tortugas National Park,National Park,7355,1949
SE,FL,DRTO,Dry Tortugas National Park,National Park,7025,1950
SE,FL,DRTO,Dry Tortugas National Park,National Park,5405,1951
SE,FL,DRTO,Dry Tortugas National Park,National Park,4376,1952
SE,FL,DRTO,Dry Tortugas National Park,National Park,6708,1953
SE,FL,DRTO,Dry Tortugas National Park,National Park,6200,1954
SE,FL,DRTO,Dry Tortugas National Park,National Park,4300,1955
SE,FL,DRTO,Dry Tortugas National Park,National Park,5000,1956
SE,FL,DRTO,Dry Tortugas National Park,National Park,3600,1957
SE,FL,DRTO,Dry Tortugas National Park,National Park,4200,1958
SE,FL,DRTO,Dry Tortugas National Park,National Park,4400,1959
SE,FL,DRTO,Dry Tortugas National Park,National Park,8900,1960
SE,FL,DRTO,Dry Tortugas National Park,National Park,14400,1961
SE,FL,DRTO,Dry Tortugas National Park,National Park,7700,1962
SE,FL,DRTO,Dry Tortugas National Park,National Park,26200,1963
SE,FL,DRTO,Dry Tortugas National Park,National Park,43200,1964
SE,FL,DRTO,Dry Tortugas National Park,National Park,32200,1965
SE,FL,DRTO,Dry Tortugas National Park,National Park,35300,1966
SE,FL,DRTO,Dry Tortugas National Park,National Park,22100,1967
SE,FL,DRTO,Dry Tortugas National Park,National Park,9000,1968
SE,FL,DRTO,Dry Tortugas National Park,National Park,6900,1969
SE,FL,DRTO,Dry Tortugas National Park,National Park,12900,1970
SE,FL,DRTO,Dry Tortugas National Park,National Park,4000,1971
SE,FL,DRTO,Dry Tortugas National Park,National Park,5066,1972
SE,FL,DRTO,Dry Tortugas National Park,National Park,6100,1973
SE,FL,DRTO,Dry Tortugas National Park,National Park,5100,1974
SE,FL,DRTO,Dry Tortugas National Park,National Park,9700,1975
SE,FL,DRTO,Dry Tortugas National Park,National Park,8900,1976
SE,FL,DRTO,Dry Tortugas National Park,National Park,11600,1977
SE,FL,DRTO,Dry Tortugas National Park,National Park,10361,1978
SE,FL,DRTO,Dry Tortugas National Park,National Park,9076,1979
SE,FL,DRTO,Dry Tortugas National Park,National Park,8644,1980
SE,FL,DRTO,Dry Tortugas National Park,National Park,10150,1981
SE,FL,DRTO,Dry Tortugas National Park,National Park,10700,1982
SE,FL,DRTO,Dry Tortugas National Park,National Park,11004,1983
SE,FL,DRTO,Dry Tortugas National Park,National Park,11900,1984
SE,FL,DRTO,Dry Tortugas National Park,National Park,13213,1985
SE,FL,DRTO,Dry Tortugas National Park,National Park,15379,1986
SE,FL,DRTO,Dry Tortugas National Park,National Park,16315,1987
SE,FL,DRTO,Dry Tortugas National Park,National Park,16937,1988
SE,FL,DRTO,Dry Tortugas National Park,National Park,19441,1989
SE,FL,DRTO,Dry Tortugas National Park,National Park,19402,1990
SE,FL,DRTO,Dry Tortugas National Park,National Park,18231,1991
SE,FL,DRTO,Dry Tortugas National Park,National Park,21581,1992
SE,FL,DRTO,Dry Tortugas National Park,National Park,24020,1993
SE,FL,DRTO,Dry Tortugas National Park,National Park,16736,1994
SE,FL,DRTO,Dry Tortugas National Park,National Park,32870,1995
SE,FL,DRTO,Dry Tortugas National Park,National Park,35127,1996
SE,FL,DRTO,Dry Tortugas National Park,National Park,47224,1997
SE,FL,DRTO,Dry Tortugas National Park,National Park,60136,1998
SE,FL,DRTO,Dry Tortugas National Park,National Park,74186,1999
SE,FL,DRTO,Dry Tortugas National Park,National Park,83704,2000
SE,FL,DRTO,Dry Tortugas National Park,National Park,79186,2001
SE,FL,DRTO,Dry Tortugas National Park,National Park,79582,2002
SE,FL,DRTO,Dry Tortugas National Park,National Park,74741,2003
SE,FL,DRTO,Dry Tortugas National Park,National Park,67917,2004
SE,FL,DRTO,Dry Tortugas National Park,National Park,61765,2005
SE,FL,DRTO,Dry Tortugas National Park,National Park,64122,2006
